"d_phi_p [deg]","Time [us]","re(SP(i1)) [mV]","re(SP(i2)) [mV]","re(SP(i3)) [mV]","re(SP(i4)) [mV]","re(SP(q1)) [mV]","re(SP(q2)) [mV]","re(SP(q3)) [mV]","re(SP(q4)) [mV]"
8,0,-13.4736023871271,16.4810979439705,13.3585275091304,-43.522905909199,22.9273387321296,-1.5397253251511,4.86994886841486,27.8856564340063
8,8,-13.4742742544677,16.481601190889,13.3587472740776,-43.5252253483345,22.9282853230955,-1.5398516521508,4.86999262114131,27.8865699400314
8,16,-13.4747507323779,16.4819581162433,13.3589032322294,-43.5268701589496,22.9289566226223,-1.53994122650081,4.87002367441456,27.8872178879455
8,24,-13.4752283662526,16.4823159328643,13.3590596555226,-43.5285188770712,22.9296295440467,-1.54003100586687,4.87005482341978,27.8878674940866
8,32,-13.4759058149728,16.4828234831152,13.359281666332,-43.5308571829393,22.9305839660716,-1.54015832275173,4.87009903837294,27.8887890065875
8,40,-13.4775508355104,16.4840561585992,13.3598214921038,-43.5365345016788,22.9329014941761,-1.5404673786688,4.87020657409045,27.8910273998525
8,48,-13.2187867536438,16.2892335168606,13.2665988490699,-42.6597788272338,22.575425580457,-1.49527337296198,4.85066050590954,27.5413282047207
8,56,-13.2187867536438,16.2892335168606,13.2665988490699,-42.6597788272338,22.575425580457,-1.49527337296198,4.85066050590954,27.5413282047207
8,64,-13.2187867536438,16.2892335168606,13.2665988490699,-42.6597788272338,22.575425580457,-1.49527337296198,4.85066050590954,27.5413282047207
8,72,-13.2187867536438,16.2892335168606,13.2665988490699,-42.6597788272338,22.575425580457,-1.49527337296198,4.85066050590954,27.5413282047207
8,80,-13.2187867536438,16.2892335168606,13.2665988490699,-42.6597788272338,22.575425580457,-1.49527337296198,4.85066050590954,27.5413282047207
8,88,-13.2187867536438,16.2892335168606,13.2665988490699,-42.6597788272338,22.575425580457,-1.49527337296198,4.85066050590954,27.5413282047207
8,96,-13.2187867536438,16.2892335168606,13.2665988490699,-42.6597788272338,22.575425580457,-1.49527337296198,4.85066050590954,27.5413282047207
8,104,-13.2187867536438,16.2892335168606,13.2665988490699,-42.6597788272338,22.575425580457,-1.49527337296198,4.85066050590954,27.5413282047207
8,112,-13.2187867536438,16.2892335168606,13.2665988490699,-42.6597788272338,22.575425580457,-1.49527337296198,4.85066050590954,27.5413282047207
8,120,-13.2187867536438,16.2892335168606,13.2665988490699,-42.6597788272338,22.575425580457,-1.49527337296198,4.85066050590954,27.5413282047207
8,128,-13.2187867536438,16.2892335168606,13.2665988490699,-42.6597788272338,22.575425580457,-1.49527337296198,4.85066050590954,27.5413282047207
8,136,-13.2187867536438,16.2892335168606,13.2665988490699,-42.6597788272338,22.575425580457,-1.49527337296198,4.85066050590954,27.5413282047207
9,0,-13.3948749257043,18.1988430567813,14.2560564123533,-42.520870136075,23.3809301331949,-3.65745892852113,5.16505614856361,31.9128327754679
9,8,-13.3955430545583,18.1993955544655,14.2563016881698,-42.5231788508589,23.3818975887923,-3.65764565278787,5.16512231113658,31.9139703422549
9,16,-13.3960168817263,18.1997874106913,14.2564757398293,-42.524816045549,23.3825836866284,-3.6577780611464,5.16516924846749,31.914777184199
9,24,-13.3964918588729,18.2001802454185,14.256650301853,-42.526457120627,23.3832714434598,-3.65791077944285,5.16521631286043,31.9155860645448
9,32,-13.3971655402037,18.200737467633,14.2568980418825,-42.5287845712056,23.3842469092363,-3.65809900019239,5.16528308893144,31.9167334734167
9,40,-13.3988014162621,18.2020907803236,14.2575003559465,-42.5344354581534,23.3866155470377,-3.65855595490217,5.16544534860101,31.9195203571706
9,48,-13.1413406807902,17.9880443938477,14.1545054322272,-41.6619808415997,23.021045760986,-3.59040919296566,5.13808701611474,31.4850739551511
9,56,-13.1413406807902,17.9880443938477,14.1545054322272,-41.6619808415997,23.021045760986,-3.59040919296566,5.13808701611474,31.4850739551511
9,64,-13.1413406807902,17.9880443938477,14.1545054322272,-41.6619808415997,23.021045760986,-3.59040919296566,5.13808701611474,31.4850739551511
9,72,-13.1413406807902,17.9880443938477,14.1545054322272,-41.6619808415997,23.021045760986,-3.59040919296566,5.13808701611474,31.4850739551511
9,80,-13.1413406807902,17.9880443938477,14.1545054322272,-41.6619808415997,23.021045760986,-3.59040919296566,5.13808701611474,31.4850739551511
9,88,-13.1413406807902,17.9880443938477,14.1545054322272,-41.6619808415997,23.021045760986,-3.59040919296566,5.13808701611474,31.4850739551511
9,96,-13.1413406807902,17.9880443938477,14.1545054322272,-41.6619808415997,23.021045760986,-3.59040919296566,5.13808701611474,31.4850739551511
9,104,-13.1413406807902,17.9880443938477,14.1545054322272,-41.6619808415997,23.021045760986,-3.59040919296566,5.13808701611474,31.4850739551511
9,112,-13.1413406807902,17.9880443938477,14.1545054322272,-41.6619808415997,23.021045760986,-3.59040919296566,5.13808701611474,31.4850739551511
9,120,-13.1413406807902,17.9880443938477,14.1545054322272,-41.6619808415997,23.021045760986,-3.59040919296566,5.13808701611474,31.4850739551511
9,128,-13.1413406807902,17.9880443938477,14.1545054322272,-41.6619808415997,23.021045760986,-3.59040919296566,5.13808701611474,31.4850739551511
9,136,-13.1413406807902,17.9880443938477,14.1545054322272,-41.6619808415997,23.021045760986,-3.59040919296566,5.13808701611474,31.4850739551511
10,0,-13.6818600443787,22.4831546220529,15.018618222981,-41.0484713697734,23.5573334789011,-6.66939208950547,5.50107558647888,35.6283232185369
10,8,-13.6825477910191,22.4841626065269,15.018872069756,-41.0507481156049,23.5583035832443,-6.66964678855156,5.50116599030641,35.6296921725245
10,16,-13.683035533275,22.4848774487388,15.0190521988342,-41.0523626278837,23.5589915544497,-6.66982739122838,5.50123010012502,35.6306630959066
10,24,-13.6835244613127,22.4855940212533,15.0192328522134,-41.0539809567581,23.5596811849711,-6.6700084105002,5.5012943628306,35.6316364434679
10,32,-13.6842179333003,22.4866103602013,15.0194892304931,-41.056276130373,23.5606593010426,-6.67026512100432,5.50138550484684,35.6330171022016
10,40,-13.6859018832699,22.4890782610969,15.0201125137506,-41.0618485671222,23.5630343392028,-6.67088830081176,5.50160679896242,35.6363702742033
10,48,-13.4207570763825,22.105109483385,14.9140034151263,-40.2017782010708,23.1969430632449,-6.57951736576601,5.46669771384135,35.1151013422565
10,56,-13.4207570763825,22.105109483385,14.9140034151263,-40.2017782010708,23.1969430632449,-6.57951736576601,5.46669771384135,35.1151013422565
10,64,-13.4207570763825,22.105109483385,14.9140034151263,-40.2017782010708,23.1969430632449,-6.57951736576601,5.46669771384135,35.1151013422565
10,72,-13.4207570763825,22.105109483385,14.9140034151263,-40.2017782010708,23.1969430632449,-6.57951736576601,5.46669771384135,35.1151013422565
10,80,-13.4207570763825,22.105109483385,14.9140034151263,-40.2017782010708,23.1969430632449,-6.57951736576601,5.46669771384135,35.1151013422565
10,88,-13.4207570763825,22.105109483385,14.9140034151263,-40.2017782010708,23.1969430632449,-6.57951736576601,5.46669771384135,35.1151013422565
